time,ShortWave,AirTemp,RelHum,WindSpeed,Cloud,Rain,Snow
2019-09-10,170.2,11.9,78.13,1.6,0.25,0,0
2019-09-11,168.6,14.3,68.04,2.6,0.44,0,0
2019-09-12,127.4,18.5,70.63,3.2,0.58,0,0
2019-09-13,92.4,17.3,80.25,2.6,0.5,0,0
2019-09-14,212.5,16.1,74.58,3.4,0.29,0,0
2019-09-15,214.5,16.1,74.75,2.1,0.4,0,0
2019-09-16,63.7,15.6,74.92,2.1,0.78,0,0
2019-09-17,168.4,15.5,64.29,4,0.65,0,0
2019-09-18,195.5,10.2,68.92,3,0.21,0,0
2019-09-19,201.2,9.3,69.13,4.2,0.36,0,0
2019-09-20,195.7,9.6,68.88,2.6,0.44,0,0
2019-09-21,202.1,12.1,64.54,3.7,0.01,0,0
2019-09-22,162.7,15.5,68.38,2,0.58,0.007,0
2019-09-23,82.4,14.7,89.13,3.1,0.79,0.008,0
2019-09-24,69.2,13.5,87.38,1.8,0.86,0.005,0
2019-09-25,88.2,14.7,89.46,4.3,0.85,0.006,0
2019-09-26,50,15.5,91.54,3.7,0.89,0.003,0
2019-09-27,68.4,14.7,92.21,3.8,0.78,0.014,0
2019-09-28,78.1,14.8,80.67,4.9,0.73,0,0
2019-09-29,77.2,16.2,74.71,5.7,0.84,0.011,0
2019-09-30,62.6,14.5,76.83,6.4,0.78,0,0
2019-10-01,49.9,14.9,85.75,4.3,0.86,0.012,0
2019-10-02,72,11.7,80.25,4.7,0.68,0,0
2019-10-03,59,9.3,84.13,3.6,0.83,0.001,0
2019-10-04,45.3,9.8,92.67,3.1,0.91,0.007,0
2019-10-05,55.1,9.9,86.63,3.8,0.75,0,0
2019-10-06,43.9,8,92.04,4.5,0.98,0.018,0
2019-10-07,43.3,9.7,91.75,2.3,0.95,0.001,0
2019-10-08,42.7,12,95.04,4.2,0.95,0.024,0
2019-10-09,64.9,11.1,91.58,4.6,0.73,0.011,0
2019-10-10,85.7,11.3,83.5,5,0.71,0,0
2019-10-11,46.8,13,83.17,3,0.74,0,0
2019-10-12,113.1,16.5,74.5,3.4,0.4,0,0
2019-10-13,129.8,18.8,73.5,2.6,0.31,0,0
2019-10-14,146.5,17.1,75.88,2,0.31,0,0
2019-10-15,65.8,14.6,86.67,2.9,0.79,0.005,0
2019-10-16,52.1,13,82,3.7,0.84,0.001,0
2019-10-17,44.3,14.7,79.92,3.8,0.93,0.005,0
2019-10-18,65.5,13.3,84.83,4.2,0.79,0.001,0
2019-10-19,37.5,13.1,85.38,2.7,0.96,0.004,0
2019-10-20,42.6,14.3,93.25,2.1,0.93,0,0
2019-10-21,45,14.7,85.71,2.6,0.86,0,0
2019-10-22,93,12,86.17,1.7,0.7,0,0
2019-10-23,34.1,11.3,92.75,3.7,0.79,0,0
2019-10-24,59.7,13.7,87.42,2.2,0.85,0,0
2019-10-25,101.8,12.5,82.04,3.3,0.75,0,0
2019-10-26,83.9,12.6,81.92,2.2,0.78,0,0
2019-10-27,35.9,11.4,83.33,2.3,0.88,0.002,0
2019-10-28,35.2,4.6,95.17,2,0.76,0,0
2019-10-29,39.3,5.6,89.88,3.8,0.66,0,0
2019-10-30,69.5,4.2,81.13,4.3,0.48,0,0
2019-10-31,112,3,79.25,3.9,0.08,0,0
2019-11-01,29.6,7.1,92.42,3,0.9,0.006,0
2019-11-02,36.9,13.3,86.88,5.1,0.93,0.005,0
2019-11-03,32.4,12.2,85.25,3.6,0.91,0.002,0
2019-11-04,40.5,9.9,92.75,4.4,0.85,0.016,0
2019-11-05,70.1,8.3,86.58,3.1,0.64,0.003,0
2019-11-06,29,8.5,91.83,3,0.88,0.001,0
2019-11-07,39.2,8,87.54,3.8,0.83,0.002,0
2019-11-08,26.5,5.3,95.88,2.2,0.98,0.009,0
2019-11-09,68,4.6,92.25,2.7,0.61,0,0
2019-11-10,25.6,1.8,95.29,2.5,0.91,0,0
2019-11-11,25.2,2.6,92,2.5,0.99,0.003,0
2019-11-12,29.4,4.9,88.25,3.8,0.75,0.002,0
2019-11-13,24.9,3.8,90.04,2.9,0.84,0,0
2019-11-14,69.3,3.9,81.63,4.1,0.79,0,0
2019-11-15,29.6,3.8,83.79,3.7,0.94,0,0
2019-11-16,52,2.3,92.08,1.6,0.48,0,0
2019-11-17,23,3.7,95.58,3.5,1,0.001,0
2019-11-18,22.7,4,90.13,3.9,1,0.001,0
2019-11-19,27.7,3.7,91.17,2,0.76,0,0
2019-11-20,39.2,1.2,91.92,2.5,0.73,0,0
2019-11-21,25.5,2.1,90.38,1.9,0.85,0,0
2019-11-22,21.4,2.9,89.21,3.4,0.89,0,0
2019-11-23,37.5,5.8,82.13,5.6,0.86,0,0
2019-11-24,34.8,2.9,93.5,1.5,0.85,0,0
2019-11-25,20.6,4.2,96.5,1.1,0.98,0.001,0
2019-11-26,20.6,7.9,91.21,1.6,0.95,0,0
2019-11-27,20.7,9.5,83.29,4.3,0.9,0.004,0
2019-11-28,23,9.7,83.21,7.1,0.85,0.006,0
2019-11-29,23,6.1,86.58,3.5,0.8,0.002,0
2019-11-30,67,1.9,87.92,2.3,0.41,0,0
2019-12-01,19.1,0.7,82.5,4,0.95,0,0
2019-12-02,46.6,0.8,85.71,2.5,0.56,0,0
2019-12-03,18.7,2.5,92.13,1.6,0.86,0,0
2019-12-04,58.3,-0.1,88.25,2.8,0.35,0,0
2019-12-05,18.4,-2.7,95.88,2.2,0.71,0,0
2019-12-06,18.2,2,91.38,4.5,1,0.009,0
2019-12-07,18.2,7.7,89.92,5,0.9,0.001,0
2019-12-08,17.9,8.7,84.04,6.8,0.94,0.004,0
2019-12-09,21.6,6.5,85.75,5.7,0.81,0.005,0
2019-12-10,56.6,2,85.92,3.4,0.41,0,0
2019-12-11,17.6,2.3,83.04,2.3,0.98,0.01,0
2019-12-12,20.7,2.9,91.88,3,0.79,0.001,0
2019-12-13,17.4,3.5,89.63,3.9,0.91,0.011,0
2019-12-14,30.9,6.4,78.58,7.4,0.78,0.008,0
2019-12-15,17.2,8.4,87.33,4.5,0.91,0.003,0
2019-12-16,17.5,8.3,87.88,1.1,0.89,0,0
2019-12-17,29.7,9.7,77.71,1.4,0.86,0,0
2019-12-18,31.3,8.6,85.25,2.6,0.64,0,0
2019-12-19,37.8,2.7,95.88,2,0.46,0,0
2019-12-20,17,4.1,95.79,3.4,0.81,0.008,0
2019-12-21,54.1,5,88.92,2.5,0.54,0.002,0
2019-12-22,17.1,7.6,83.29,3.7,0.93,0.001,0
2019-12-23,25.2,7.2,83.33,4.6,0.73,0.001,0
2019-12-24,17.4,6.7,86.71,5,0.76,0.004,0
2019-12-25,19.3,6.8,86.63,4,0.7,0,0
2019-12-26,27.4,4.3,90.58,1.5,0.88,0.001,0
2019-12-27,17.2,3.8,91.67,3.4,0.86,0,0
2019-12-28,49.9,-1,87.46,2.5,0.8,0,0
2019-12-29,61.7,-1.9,84.54,2.9,0.55,0,0
2019-12-30,61.5,-2,87.13,1.5,0.58,0,0
2019-12-31,17.6,-0.5,90.63,2.4,0.91,0,0
2020-01-01,63.6,-0.7,89.58,2.8,0.23,0,0
2020-01-02,17.9,-0.4,96.67,1.7,0.96,0,0
2020-01-03,18,6.2,86.92,4.3,0.94,0.001,0
2020-01-04,18.2,4,83.92,4.4,0.81,0,0
2020-01-05,18.3,5,89.21,1.9,0.9,0.001,0
2020-01-06,18.5,-0.3,96.08,1.8,0.9,0,0
2020-01-07,37.3,3.7,91.38,2.7,0.73,0.001,0
2020-01-08,18.9,5.9,89.38,3.3,0.98,0.005,0
2020-01-09,19.1,10,88.33,3.2,0.99,0.007,0
2020-01-10,38.3,7.8,86.83,4.4,0.8,0.003,0
2020-01-11,43.5,1.8,88.04,1.7,0.6,0,0
2020-01-12,19.7,2.8,84.96,3.9,0.81,0,0
2020-01-13,20,5.5,85.42,3.1,0.89,0,0
2020-01-14,20.6,9.3,58.21,4.4,0.88,0,0
2020-01-15,69.2,10.9,57.58,3.7,0.68,0,0
2020-01-16,73.3,7.8,78.75,1.7,0.34,0,0
2020-01-17,38.4,4.5,84.38,1.8,0.51,0,0
2020-01-18,39.2,3.9,82.38,3.5,0.73,0,0
2020-01-19,26.3,2.7,84.79,2.7,0.79,0,0
2020-01-20,66.7,0.5,85.21,2.7,0.34,0,0
2020-01-21,84,-2.3,85.67,1.9,0.13,0,0
2020-01-22,22.6,-3.7,93.54,1.5,0.65,0,0
2020-01-23,37.5,0.7,85.71,2.7,0.84,0,0
2020-01-24,23.3,0.2,86.58,1.8,1,0,0
2020-01-25,23.6,0.8,94.33,1.1,1,0,0
2020-01-26,24,1.1,96.67,1.5,1,0,0
2020-01-27,24.4,5.3,91.58,3.7,1,0.013,0
2020-01-28,27,4.5,85.96,6.8,0.79,0.006,0
2020-01-29,28.7,3.7,81.46,5.2,0.79,0,0
2020-01-30,37.3,6.7,80.08,4.9,0.86,0,0
2020-01-31,29.5,11.8,83.21,6.1,0.84,0,0
2020-02-01,26.4,10.6,89.29,6.2,0.88,0.016,0
2020-02-02,26.8,9.5,86.21,5.4,0.85,0.005,0
2020-02-03,35.5,9.6,82.79,5.8,0.94,0.023,0
2020-02-04,63.2,4.6,83.96,5.1,0.8,0.001,0
2020-02-05,106.4,2.1,78.13,2.9,0.26,0,0
2020-02-06,35.5,-0.6,85.58,1.3,0.53,0,0
2020-02-07,109.5,0.5,81.21,3.7,0.06,0,0
2020-02-08,51.8,1.2,83.13,1.3,0.69,0,0
2020-02-09,50.1,8.4,69.17,6.1,0.89,0.008,0
2020-02-10,59.2,8.5,72.63,10.5,0.81,0.003,0
2020-02-11,79.3,5,66.04,9.2,0.54,0.001,0
2020-02-12,67.6,3.2,81,6.7,0.64,0.001,0
2020-02-13,31.9,4.3,83.54,3.1,0.85,0.008,0
2020-02-14,41.6,6.4,81.38,3.8,0.83,0,0
2020-02-15,95.1,7.2,75.33,2.3,0.78,0,0
2020-02-16,48.5,14.4,46.92,7,0.9,0.001,0
2020-02-17,38.8,8.3,81.92,5.1,0.91,0.005,0
2020-02-18,39.9,6.8,70.92,6.8,0.85,0.001,0
2020-02-19,57.3,5.7,69.75,5.8,0.74,0,0
2020-02-20,38.5,7.3,71.83,5.9,0.94,0.002,0
2020-02-21,84.2,5.4,68.79,5.9,0.63,0,0
2020-02-22,79.6,7.7,64,6.7,0.66,0,0
2020-02-23,37.3,10.1,80.33,9,0.96,0.004,0
2020-02-24,37.8,7.7,80.08,4.6,0.91,0.006,0
